helper,function,date,set_no_internal,ref_no,cs_no,area,sales_area,hospital,doctor,brand,product,case_date,case_time,sending_date,due_time,courier,recipient,set_no,box_no,return_box,case_used,confirm_email,current_day,notice_return,status,status_date,remark
Auxein VA,,04-04-23,,REF_MASKED,951XXX,BKK,SALES_005,HOSP_632,DR_759,Auxein VA,Distal radius VA,05-04-23,13:00,04-04-23,,,,17,BB18,d,ใช้,,3/18/2026,,Received,4/7/2023,*Plate ซ้าย Ti546-203L รับกลับแล้วคืนเน่*
Sigma 3.5,,04-04-23,,REF_MASKED,951XXX,BKK,SALES_005,HOSP_632,DR_759,Sigma 3.5,PH,05-04-23,13:00,04-04-23,,,,S43,BB18,√,ใช้,,3/18/2026,,Received,4/7/2023,มี Plate ยาว
Auxein ET,,04-04-23,,REF_MASKED,951XXX,BKK,SALES_005,HOSP_632,DR_759,Auxein ET,Expert tibia,05-04-23,9:00,04-04-23,,,,-,BB18,√,ใช้,,3/18/2026,,Received,4/7/2023,"มี Nail 285 DIA
Nail 9x345 
Nail 9,10,11,12 x 360
Drill bit 40 = 1 ชิ้น
K.wire 500 = 3 ชิ้น"
Sigma 3.5,,04-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_074,Sigma 3.5,PF+PMT+PLT,05-04-23,16:00,04-04-23,,,,"05-1
 L55
 S40",-,-,-,,3/18/2026,,Received,4/6/2023,"มี เครื่องมือ 1 ชุด , Plate ยาว"
Auxein ET,,04-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_228,DR_474,Auxein ET,Expert tibia,05-04-23,12:00,04-04-23,,,,1,BM21,√,ใช้,,3/18/2026,,Received,4/7/2023,
Sigma Nail,,04-04-23,,REF_MASKED,,UPC,SALES_011,HOSP_493,DR_080,Sigma Nail,PFNA (Hyper) S,07-04-23,-,04-04-23,,,,N17,BM32,ค้าง,ใช้,,3/18/2026,,Received,6/9/2023,จากเดิมกำหนดผ่าวันที่ 5/4/23 ผท.แจ้งเลื่อน
Auxein EF,,04-04-23,,REF_MASKED,,BKK,SALES_006,HOSP_449,DR_543,Auxein EF,"Expert nail femur,
Broad & Narrow (Large 5.0)",06-04-23,15:00,05-04-23,,,,"12,L06",-,-,-,,3/18/2026,,Received,4/7/2023,"มี Enpcamp , เครื่องมือ 1 ชุด"
Sigma 3.5,,04-04-23,,REF_MASKED,,BKK,SALES_009,HOSP_400,DR_946,Sigma 3.5,Fibular plate (Small 3.5),07-04-23,16:00,05-04-23,,,,33,BM05,√,ใช้,,3/18/2026,,Received,4/9/2023,
Sigma 3.5,,04-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,DR_1361,Sigma 3.5,DMT,10-04-23,9:00,04-04-23,,,,S03,6/ข,√,ใช้,,3/18/2026,,Received,4/12/2023,
Sigma 3.5,,04-04-23,,REF_MASKED,,UPC,SALES_020,HOSP_071,DR_1361,Sigma 3.5,PMT+PLT,10-04-23,9:00,04-04-23,,,,S10,6/ข,√,ใช้,,3/18/2026,,Received,4/12/2023,
